URLs,Retrived date
https://pantip.com/topic/38555107,2020-10-16 12:37:25.907184
https://pantip.com/topic/37707047,2020-10-16 12:37:25.907184
https://pantip.com/topic/37706951,2020-10-16 12:37:25.907184
https://pantip.com/topic/37365544,2020-10-16 12:37:25.907184
https://pantip.com/topic/37206670,2020-10-16 12:37:25.907184
https://pantip.com/topic/36518804,2020-10-16 12:37:25.907184
https://pantip.com/topic/35869694,2020-10-16 12:37:25.907184
https://pantip.com/topic/35836387,2020-10-16 12:37:25.907184
https://pantip.com/topic/35771143,2020-10-16 12:37:25.907184
https://pantip.com/topic/35351562,2020-10-16 12:37:25.907184
https://pantip.com/topic/34977281,2020-10-16 12:37:25.907184
https://pantip.com/topic/33315322,2020-10-16 12:37:25.907184
https://pantip.com/topic/33806401,2020-10-16 12:37:25.907184
https://pantip.com/topic/33123455,2020-10-16 12:37:25.907184
https://pantip.com/topic/32384223,2020-10-16 12:37:25.907184
https://pantip.com/topic/32133465,2020-10-16 12:37:25.907184
https://pantip.com/topic/31905756,2020-10-16 12:37:25.907184
https://pantip.com/topic/31763288,2020-10-16 12:37:25.907184
https://pantip.com/topic/31887909,2020-10-16 12:37:25.907184
https://pantip.com/topic/31620893,2020-10-16 12:37:25.907184
https://pantip.com/topic/31514402,2020-10-16 12:37:25.907184
https://pantip.com/topic/30994062,2020-10-16 12:37:25.907184
https://pantip.com/topic/30940495,2020-10-16 12:37:25.907184
https://pantip.com/topic/30931179,2020-10-16 12:37:25.907184
https://pantip.com/topic/30746478,2020-10-16 12:37:25.907184
https://pantip.com/topic/30565993,2020-10-16 12:37:25.907184
https://pantip.com/topic/30552929,2020-10-16 12:37:25.907184
https://pantip.com/topic/30472983,2020-10-16 12:37:25.907184
https://pantip.com/topic/30461910,2020-10-16 12:37:25.907184
https://pantip.com/topic/30482737,2020-10-16 12:37:25.907184
https://pantip.com/topic/30145961,2020-10-16 12:37:25.907184
